,Unnamed: 0,"Sport catch of Fall Chinook in Oregon streams and rivers, 2007-2019",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,(2018-2019 numbers are 'Preliminary'),,,,,,,,,,,,,,,,
Code,Code,Waterbody,'07-08,'08-09,'09-10,'10-11,'11-12,'12-13,'13-14,'14-15,'15-16,'16-17,'17-18,'18-19,,,,,,,,,,,,,,
,,Coastal River Systems,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,181.0,UMATILLA R,-,-,-,-,17,-,11,10,6,-,-,-
182,,,,,,,,,,,,,,,182.0,WALLA WALLA R,-,12,-,-,3,-,-,5,-,-,-,-
184,,,,,,,,,,,,,,,184.0,WENAHA R,2,-,-,-,-,4,4,3,-,-,-,-
185,,,,,,,,,,,,,,,185.0,WILLAMETTE R & SLOUGH BELOWOR CITY FLLS,93,59,38,138,199,146,218,150,302,221,322,72
186,,,,,,,,,,,,,,,186.0,WILLAMETTE R ABOVE OR CITYFALLS,12,8,19,32,63,17,53,90,18,13,-,-
188,,,,,,,,,,,,,,,188.0,MID FK WILL,-,-,-,-,-,-,-,-,-,-,-,-
189,,,,,,,,,,,,,,,189.0,WILLAMINA CR,-,-,-,-,-,-,-,-,12,-,-,-
193,,,,,,,,,,,,,,,193.0,YOUNGS R & BAY,35,63,38,141,188,125,138,115,36,97,6,10
195,,,,,,,,,,,,,,,195.0,SILVER CR,-,-,-,-,-,-,-,-,-,-,-,-
202,,,,,,,,,,,,,,,202.0,CLACKAMAS R SYSTEM ABOVENO FK DAM,-,-,-,-,-,-,-,-,-,-,-,-
203,,,,,,,,,,,,,,,203.0,DESCHUTES R ABOVE SHERARSFALLS,20,12,12,36,3,8,18,4,47,6,13,10
205,,,,,,,,,,,,,,,205.0,SANDY R FROM REVENUEBRIDGE TO SALMON R,-,16,8,57,14,79,36,60,41,13,13,31
208,,,,,,,,,,,,,,,208.0,JOHN DAY ARM,4,-,8,-,3,13,4,-,12,-,6,-
