Clatskanie River 44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clatskanie River 44,24,58,67,33,18,16,,8,26,63 31,,19,19,6,0,0
"Columbia River, Lower 1103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia River, Lower 1103",887,1513,813,474,1097,"6,563",,"2,513","6,380","16,437 17,540",,"11,953","5,758","9,070","5,342","6,311"
"Columbia River, Upper 388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia River, Upper 388",171,305,154,96,374,402,,435,765,"1,180 1,884",,"2,525","1,489","1,408",819,"1,528"
"Deschutes River, Lower 363",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deschutes River, Lower 363",319,489,538,761,452,291,,293,193,524 763,,510,324,210,47,34
"Deschutes River, Upper --",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deschutes River, Upper --",--,--,--,--,--,13,,0,4,18 12,,17,18,5,2,0
Eagle Creek (Clackamas R) 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagle Creek (Clackamas R) 53,171,114,114,172,3,83,,145,166,87 171,,97,9,49,0,4
Eagle Creek (Columbia R) 47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagle Creek (Columbia R) 47,6,58,70,53,143,51,,43,40,10 0,,15,19,27,17,8
Gnat Creek (Clatsop Co) 126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gnat Creek (Clatsop Co) 126,222,175,80,416,309,142,,133,217,"1,461 906",,840,79,46,28,26
Herman Creek (Columbia R) 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Herman Creek (Columbia R) 56,54,132,9,3,3,0,,0,0,0 0,,0,6,40,6,12
"Hood River, E. Fk. & W.Fk. 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hood River, E. Fk. & W.Fk. 3",3,12,0,10,6,3,,12,15,20 16,,7,6,3,10,0
Hood R. Mouth to Powerdale Dam (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hood R. Mouth to Powerdale Dam (b),,,,,,,,,,-- --,,--,--,--,--,--
Hood R. Above Powerdale Dam (b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hood R. Above Powerdale Dam (b),,,,,,,,,,-- --,,--,--,--,--,--
Klaskanine River 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Klaskanine River 94,99,88,129,40,54,38,,36,29,68 180,,86,3,21,0,12
N. Fk. Klaskanine River 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N. Fk. Klaskanine River 94,99,206,55,73,94,27,,28,18,10 12,,45,6,0,0,8
S. Fk. Klaskanine River 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S. Fk. Klaskanine River 3,15,9,3,3,6,3,,8,0,5 70,,4,0,0,0,0
Lewis and Clark River 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lewis and Clark River 9,9,12,21,13,60,16,,75,23,223 172,,94,3,15,3,8
Sandy River Above Marmot Dam (a) --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandy River Above Marmot Dam (a) --,--,--,--,--,--,--,,--,--,-- 23,,0,29,21,34,8
Sandy River Below Marmot Dam (a) 453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sandy River Below Marmot Dam (a) 453,329,236,255,344,155,388,,185,305,735 481,,549,282,420,244,406
Santiam River 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Santiam River 88,111,89,154,293,47,89,,200,14,5 31,,0,0,0,0,0
North Santiam River 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Santiam River 0,42,24,12,63,31,19,,79,0,15 0,,0,0,0,0,0
Little North Fork (Santiam R) --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Little North Fork (Santiam R) --,--,6,6,0,0,0,,0,0,0 0,,4,0,0,0,0
South Santiam River 242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Santiam River 242,144,37,154,257,41,272,,263,11,0 4,,0,0,0,0,0
Scappoose Creek 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scappoose Creek 12,0,12,0,0,0,0,,0,0,0 0,,0,0,0,0,0
Tualatin River 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tualatin River 0,3,0,6,3,0,3,,0,0,0 0,,0,3,0,0,0
"Willamette River, Lower 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Willamette River, Lower 32",21,18,55,54,110,89,,48,36,20 58,,93,83,117,20,65
"Willamette River, Upper 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Willamette River, Upper 0",24,3,9,20,0,32,,12,14,15 8,,4,0,3,27,0
"Willamette River, Coast Fk. 101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Willamette River, Coast Fk. 101",X,X,X,X,X,X,,X,X,X X,,0,25,0,0,0
