210,COAST FK WILL,0,0,0,0,0,0,0,0,0,0,0,0
211,COLUMBIA R--BUOY 10 TO TONGUE PT,369,929,5118,2771,3828,3177,6127,8912,7599,8856,5236,1330
212,LONGVIEW BRIDGE,400,1787,951,2302,916,847,1510,2512,1925,1348,1391,1307
213,5 BRIDGE,786,2240,2594,2256,3159,4146,3913,7108,8313,7651,6700,4807
214,BONNEVILLE DAM,1856,4035,4548,2315,2956,3069,3469,3991,5148,5286,4028,3277
215,THE DALLES DAM,558,929,692,611,786,439,590,717,723,964,599,556
216,JOHN DAY DAM,491,448,636,674,448,314,829,604,1315,786,1334,569
217,MCNARY DAM,171,316,206,86,148,195,530,576,581,375,329,273
218,STATELINE,67,66,38,26,30,80,176,127,109,70,108,129
220,LONG TOM,0,0,0,0,0,0,0,0,0,0,0,0
221,ROW R,0,0,0,0,0,0,0,0,0,0,0,0
222,WILEY CR (S SANTIAM),0,0,0,0,0,0,0,0,0,0,0,0
223,BLUE R (MCKENZIE),0,0,0,0,0,0,0,0,0,0,0,0
229,HOOD R MOUTH TO POWERDALE DAM,57,9,32,37,3,3,46,33,33,32,31,4
230,HOOD R ABOVE POWERDALE DAM,3,0,16,1,2,0,3,0,0,0,0,0
231,TO WILDCAT BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0
232,BRIDGE TO ISLAND CITY BRIDGE,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.1,0.11
233,BRIDGE,0,0,0,0,0,0,0,0,0,0,0,0
234,PARK,0,0,0,0,0,0,0,0,0,0,0,0
235,PARK,0,0,0,0,0,0,0,0,0,0,0,0
236,UMATILLA R BELOW THREE-MILE DAM,0,0,3,3,7,35,25,29,27,20,44,17
237,UMATILLA R ABOVE NOLIN,0,0,1,0,3,6,59,14,11,11,0,19
238,BRIDGE,0,0,0,0,0,0,0,6,3,0,0,4
239,BRIDGE,0,0,5,0,0,0,0,3,6,0,0,0
241,LOOKINGGLASS CR,0,0,0,0,0,0,0,0,0,0,0,0
242,POWDER R,0,0,0,0,0,0,0,0,0,0,0,0
243,NOLIN,0,0,0,0,0,0,0,0,0,0,4,8
