,Unnamed: 0,"Sport catch of winter steelhead in Oregon streams and rivers, 1995-2007",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07
,,,,,,,,Run Year,,,,,,,,,,,,,,,,,,,,
Code,Code,Waterbody,'95-96,'96-97,'97-98,'98-99,'99-00,'00-01,'01-02,'02-03,'03-04,'04-05,'05-06,'06-07,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,174.0,N FK SCAPPOOSE,5.0,6.0,3.0,0.0,4.0,11.0,6.0,3.0,27.0,0.0,0.0,0.0
175,,,,,,,,,,,,,,,175.0,S FK SCAPPOOSE,2.0,15.0,3.0,0.0,0.0,0.0,24.0,9.0,21.0,17.0,0.0,0.0
176,,,,,,,,,,,,,,,176.0,SNAKE R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,,,,,,,,,,,,,,,177.0,SUCKER CR,2.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,16.0,0.0,0.0,11.0
178,,,,,,,,,,,,,,,178.0,TANNER CR,9.0,0.0,3.0,0.0,3.0,16.0,6.0,12.0,3.0,7.0,12.0,8.0
179,,,,,,,,,,,,,,,179.0,THOMAS CR (SANT),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,,,,,,,,,,,,,,,180.0,TUALATIN R,0.0,0.0,9.0,0.0,0.0,3.0,45.0,3.0,6.0,0.0,4.0,4.0
181,,,,,,,,,,,,,,,181.0,UMATILLA R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,,,,,,,,,,,,,,,182.0,WALLA WALLA R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,,,,,,,,,,,,,,,184.0,WENAHA R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,,,,,,,,,,,,,,,185.0,WILLAMETTE R & SLOUGH BELOW ORCITY FALLS,237.0,215.0,262.0,544.0,583.0,1019.0,1193.0,618.0,863.0,486.0,600.0,684.0
186,,,,,,,,,,,,,,,186.0,WILLAMETTE R ABOVE OR CITY FALLS,24.0,88.0,91.0,109.0,153.0,365.0,533.0,293.0,261.0,240.0,276.0,93.0
188,,,,,,,,,,,,,,,188.0,MID FK WILL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,,,,,,,,,,,,,,,189.0,WILLAMINA CR,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,4.0,0.0,4.0
